title,release_date,popularity,vote_count,vote_average,genres,actor,director,id
니모를 찾아서,2003-05-30,135.353,17003,7.8,"[{'id': 16, 'name': '애니메이션'}, {'id': 10751, 'name': '가족'}]","[12, 13, 14]",[7],12
캐리비안의 해적: 블랙펄의 저주,2003-07-09,140.078,18091,7.8,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[85, 114, 116]",[1704],22
심슨 가족: 더 무비,2007-07-25,129.89,6996,7.0,"[{'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[198, 199, 200]",[197],35
캐리비안의 해적: 망자의 함,2006-07-06,142.622,13984,7.3,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[85, 114, 116]",[1704],58
찰리와 초콜릿 공장,2005-07-13,181.626,13078,7.0,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[85, 1281, 1282]",[510],118
반지의 제왕: 반지 원정대,2001-12-18,144.983,21808,8.4,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[109, 110, 1327]",[108],120
반지의 제왕: 두 개의 탑,2002-12-18,133.227,18951,8.4,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[109, 882, 1327]",[108],121
반지의 제왕: 왕의 귀환,2003-12-01,128.538,20553,8.5,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[109, 882, 1327]",[108],122
캐리비안의 해적: 세상의 끝에서,2007-05-19,145.957,12548,7.2,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[85, 114, 116]",[1704],285
백설공주와 일곱 난쟁이,1937-12-21,144.617,6424,7.1,"[{'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 10751, 'name': '가족'}]","[5460, 288940, 540747]",[5446],408
"나니아 연대기: 사자, 마녀 그리고 옷장",2005-12-07,144.729,8923,7.1,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 10751, 'name': '가족'}]","[5526, 5527, 5528]",[5524],411
아이스 에이지,2002-03-10,201.563,11515,7.3,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[5723, 5724, 15757]",[5713],425
파이트 클럽,1999-10-15,138.139,25195,8.4,"[{'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}, {'id': 53, 'name': '스릴러'}]","[287, 819, 1283]",[7467],550
콘스탄틴,2005-02-08,156.526,5940,7.0,"[{'id': 14, 'name': '판타지'}, {'id': 27, 'name': '공포'}, {'id': 28, 'name': '액션'}]","[3293, 6384, 10959]",[10943],561
몬스터 주식회사,2001-11-01,240.059,16115,7.8,"[{'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[1230, 7904, 7905]",[12890],585
타이타닉,1997-11-18,231.518,21789,7.9,"[{'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[204, 1954, 6193]",[2710],597
오즈의 마법사,1939-08-15,134.812,4696,7.6,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 10751, 'name': '가족'}]","[9066, 9068, 9070]",[9049],630
해리 포터와 마법사의 돌,2001-11-16,436.745,23572,7.9,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}]","[10980, 10989, 10990]",[10965],671
해리 포터와 비밀의 방,2002-11-13,355.829,18944,7.7,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}]","[10980, 10989, 10990]",[10965],672
해리 포터와 아즈카반의 죄수,2004-05-31,291.505,18627,8.0,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}]","[10980, 10989, 10990]",[11218],673
해리 포터와 불의 잔,2005-11-16,331.712,17920,7.8,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 10751, 'name': '가족'}]","[10980, 10989, 10990]",[10723],674
해리 포터와 불사조 기사단,2007-06-28,258.489,16957,7.7,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 9648, 'name': '미스테리'}]","[10980, 10989, 10990]",[11343],675
해리 포터와 혼혈왕자,2009-07-07,348.495,16795,7.7,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}]","[10980, 10989, 10990]",[11343],767
나 홀로 집에 2: 뉴욕을 헤매다,1992-11-19,199.31,8030,6.7,"[{'id': 12, 'name': '모험'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[4517, 11510, 11511]",[10965],772
슈렉,2001-05-18,309.175,14488,7.7,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[776, 6941, 12073]",[5524],808
슈렉 2,2004-05-19,214.221,10395,7.2,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[776, 6941, 12073]",[5524],809
토이 스토리,1995-10-30,254.474,16025,8.0,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[31, 7167, 12898]",[7879],862
토이 스토리 2,1999-10-30,151.855,12064,7.6,"[{'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[31, 3234, 12898]",[7879],863
아이언맨,2008-04-30,124.807,23527,7.6,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[1229, 3223, 18288]",[15277],1726
캐리비안의 해적: 낯선 조류,2011-05-14,191.61,12418,6.5,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[85, 118, 955]",[17633],1865
어메이징 스파이더맨,2012-06-23,140.155,15422,6.7,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[7026, 37625, 54693]",[87742],1930
라따뚜이,2007-06-28,168.83,14550,7.8,"[{'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[65, 7962, 10872]",[7087],2062
유령 신부,2005-09-12,194.55,7621,7.5,"[{'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 10749, 'name': '로맨스'}]","[85, 1283, 1639]",[510],3933
무서운 영화,2000-07-07,184.131,5834,6.3,"[{'id': 35, 'name': '코미디'}]","[1772, 9562, 17866]",[35689],4247
마법에 걸린 사랑,2007-11-20,241.333,4757,6.8,"[{'id': 14, 'name': '판타지'}, {'id': 35, 'name': '코미디'}, {'id': 10749, 'name': '로맨스'}, {'id': 10751, 'name': '가족'}]","[9273, 11006, 18352]",[15775],4523
L'infermiera,1975-12-19,135.56,25,5.5,"[{'id': 35, 'name': '코미디'}]","[9871, 24599, 39019]",[39018],4705
폴라 익스프레스,2004-11-10,142.976,5265,6.7,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[31, 42287, 42362]",[24],5255
브라더스,2009-01-22,306.624,2621,7.2,"[{'id': 18, 'name': '드라마'}, {'id': 53, 'name': '스릴러'}, {'id': 10752, 'name': '전쟁'}]","[131, 524, 2219]",[53334],7445
라이온 킹,1994-06-23,217.365,15927,8.3,"[{'id': 16, 'name': '애니메이션'}, {'id': 18, 'name': '드라마'}, {'id': 10751, 'name': '가족'}]","[4756, 15152, 16940]",[15812],8587
그린치,2000-11-15,270.387,6160,6.7,"[{'id': 14, 'name': '판타지'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[206, 4175, 20480]",[6159],8871
지퍼스 크리퍼스,2001-07-01,135.156,2445,6.4,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}]","[15033, 56356, 56357]",[56349],8922
트와일라잇,2008-11-20,187.491,11941,6.3,"[{'id': 14, 'name': '판타지'}, {'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[11288, 21029, 37917]",[19850],8966
팀버튼의 크리스마스 악몽,1993-10-09,220.98,7875,7.8,"[{'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 10751, 'name': '가족'}]","[531, 11514, 14541]",[57646],9479
암흑 속의 혈투,1993-02-05,136.401,983,8.1,"[{'id': 18, 'name': '드라마'}, {'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}, {'id': 80, 'name': '범죄'}]","[4589, 58646, 58647]",[18596],9702
페어런트 트랩,1998-07-28,167.47,3477,7.1,"[{'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[6065, 20162, 49265]",[17698],9820
아이언맨 2,2010-04-28,180.151,18594,6.8,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[1896, 3223, 12052]",[15277],10138
인어공주,1989-11-17,148.124,6702,7.3,"[{'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 10751, 'name': '가족'}]","[35232, 63978, 67392]",[15810],10144
슈렉 포에버,2010-05-16,123.78,6202,6.3,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[776, 6941, 12073]",[64151],10192
토이 스토리 3,2010-06-16,132.202,12958,7.8,"[{'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[31, 3234, 12898]",[8],10193
토르: 천둥의 신,2011-04-21,143.297,18984,6.8,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[524, 74568, 91606]",[11181],10195
공주와 개구리,2009-12-08,151.287,4628,7.2,"[{'id': 16, 'name': '애니메이션'}, {'id': 10749, 'name': '로맨스'}, {'id': 10751, 'name': '가족'}]","[15563, 65827, 66252]",[15810],10198
호커스 포커스,1993-07-16,140.684,2506,7.1,"[{'id': 14, 'name': '판타지'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[520, 11074, 73931]",[65310],10439
사탄의 인형,1988-11-09,153.494,2384,6.7,"[{'id': 27, 'name': '공포'}]","[2022, 14541, 65683]",[64796],10585
뮬란,1998-06-18,171.385,8351,7.9,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}, {'id': 10751, 'name': '가족'}]","[776, 14592, 21702]",[66190],10674
신데렐라,1950-02-22,132.959,5854,7.0,"[{'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 10749, 'name': '로맨스'}, {'id': 10751, 'name': '가족'}]","[67289, 67290, 68652]",[11429],11224
"사탄의 인형 5: 처키, 사탄의 씨앗",2004-11-12,139.876,1280,5.4,"[{'id': 27, 'name': '공포'}, {'id': 35, 'name': '코미디'}, {'id': 53, 'name': '스릴러'}]","[1329, 1370, 7906]",[65677],11249
지퍼스 크리퍼스 2,2003-08-08,126.344,1315,6.1,"[{'id': 27, 'name': '공포'}]","[6719, 42374, 56357]",[56349],11351
사탄의 인형 4: 처키의 신부,1998-10-16,186.198,1532,6.0,"[{'id': 27, 'name': '공포'}, {'id': 35, 'name': '코미디'}, {'id': 53, 'name': '스릴러'}]","[1370, 7906, 25541]",[17268],11932
화이트 칙스,2004-06-23,151.163,3124,6.9,"[{'id': 35, 'name': '코미디'}, {'id': 80, 'name': '범죄'}]","[5915, 9562, 35690]",[35689],12153
해리 포터와 죽음의 성물 1,2010-10-06,268.441,16609,7.8,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}]","[10980, 10989, 10990]",[11343],12444
해리 포터와 죽음의 성물 2,2011-07-07,277.332,17929,8.1,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}]","[10980, 10989, 10990]",[11343],12445
데드 캠프 2,2007-08-25,130.547,1101,6.0,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}]","[9290, 53441, 57514]",[84335],13186
노잉,2009-03-19,162.541,4566,6.1,"[{'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}, {'id': 878, 'name': 'SF'}, {'id': 9648, 'name': '미스테리'}]","[2963, 9827, 77334]",[21085],13811
업,2009-05-28,136.233,17772,7.9,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[290, 68812, 80676]",[12890],14160
2012,2009-10-10,127.445,10770,5.8,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[2956, 3036, 5294]",[6046],14161
코렐라인: 비밀의 문,2009-02-05,249.153,6186,7.8,"[{'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 10751, 'name': '가족'}]","[501, 10742, 65827]",[57646],14836
크리스마스 캐롤,2009-11-04,138.049,3899,6.9,"[{'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 18, 'name': '드라마'}, {'id': 10751, 'name': '가족'}]","[64, 206, 5472]",[24],17979
뉴 문,2009-11-18,126.039,8155,6.0,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[11288, 37917, 84214]",[3288],18239
행오버,2009-06-02,155.541,14947,7.3,"[{'id': 35, 'name': '코미디'}]","[27105, 51329, 58225]",[57130],18785
아바타,2009-12-15,809.146,26573,7.5,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[8691, 10205, 65731]",[2710],19995
나루토 질풍전 극장판 1기 - 나루토의 죽음,2007-08-04,261.673,520,7.3,"[{'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}]","[82055, 82057, 89971]",[89972],20982
오펀: 천사의 비밀,2009-07-24,231.974,4493,7.0,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}, {'id': 9648, 'name': '미스테리'}]","[133, 21657, 77517]",[59521],21208
리전,2010-01-21,123.843,2210,5.8,"[{'id': 14, 'name': '판타지'}, {'id': 27, 'name': '공포'}, {'id': 28, 'name': '액션'}]","[155, 6065, 6162]",[116357],22894
데드 캠프 3,2009-10-20,160.984,921,5.6,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}]","[90582, 90755, 147893]",[126882],23823
이클립스,2010-06-23,194.285,7772,6.2,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[11288, 37917, 84214]",[27571],24021
어벤져스,2012-04-25,226.694,27782,7.7,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[103, 3223, 16828]",[12891],24428
드래곤볼 Z: 불타올라라!! 열전 열전 초격전! (구극장판 8기),1993-03-06,183.141,715,7.3,"[{'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[90496, 115790, 122501]",[81853],34433
스플라이스,2009-10-06,325.878,1874,5.8,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}, {'id': 878, 'name': 'SF'}]","[98, 3490, 118357]",[5877],37707
언디스퓨티드 3:  리뎀션,2010-05-22,179.753,682,7.6,"[{'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}]","[6696, 61856, 78110]",[78108],38234
다 큰 녀석들,2010-06-24,126.847,5153,6.3,"[{'id': 35, 'name': '코미디'}]","[2632, 19292, 32895]",[17494],38365
나쁜 녀석들: 포에버,2020-01-15,127.696,7188,7.2,"[{'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}, {'id': 80, 'name': '범죄'}]","[2888, 78029, 544442]",[1399841],38700
라푼젤,2010-11-24,206.242,9786,7.6,"[{'id': 16, 'name': '애니메이션'}, {'id': 10751, 'name': '가족'}]","[2517, 16855, 69899]",[76595],38757
드래곤볼 Z: 용권폭발!! 손오공이 안 하면 누가 하랴! (구극장판 13기),1995-07-15,153.312,554,7.2,"[{'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[1686, 65510, 90496]",[1060540],39108
리얼 스틸,2011-09-28,183.781,6978,6.9,"[{'id': 18, 'name': '드라마'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[6968, 19034, 234479]",[17825],39254
드래곤볼 Z: 위험한 두 사람!! 슈퍼 전사는 잠들지 않는다 (구극장판 10기),1994-03-12,144.362,543,6.7,"[{'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[1686, 65510, 90496]",[81853],44251
행오버 2,2011-05-25,136.575,9225,6.5,"[{'id': 35, 'name': '코미디'}]","[27105, 51329, 58225]",[57130],45243
카 2,2011-06-11,136.048,6546,6.0,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[887, 3895, 15897]",[7879],49013
서부 전선 이상 없다,2022-10-07,1469.082,853,7.8,"[{'id': 18, 'name': '드라마'}, {'id': 28, 'name': '액션'}, {'id': 10752, 'name': '전쟁'}]","[1111158, 1820948, 3631223]",[221522],49046
맨 오브 스틸,2013-06-12,123.845,13557,6.6,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[335, 9273, 73968]",[15217],49521
R.I.P.D.: 알.아이.피.디.,2013-07-18,241.902,3378,5.8,"[{'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}, {'id': 35, 'name': '코미디'}, {'id': 80, 'name': '범죄'}]","[1229, 4724, 10859]",[57270],49524
브레이킹 던 Part 1,2011-11-16,150.061,7803,6.2,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 10749, 'name': '로맨스'}]","[11288, 37917, 84214]",[15557],50619
브레이킹 던 Part 2,2012-11-13,168.201,7927,6.5,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[11288, 37917, 84214]",[15557],50620
리미트리스,2011-03-08,134.961,9323,7.2,"[{'id': 53, 'name': '스릴러'}, {'id': 878, 'name': 'SF'}, {'id': 9648, 'name': '미스테리'}]","[380, 37260, 51329]",[17329],51876
지퍼스 크리퍼스 3,2017-09-26,143.106,713,4.9,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}, {'id': 9648, 'name': '미스테리'}]","[16936, 56357, 1679798]",[56349],55341
쓰리 미터스 어보브 헤븐,2010-12-03,174.832,2589,7.8,"[{'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[77122, 82700, 224874]",[82724],61979
퍼시픽 림,2013-07-11,136.409,10941,6.9,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[17605, 18054, 56365]",[10828],68726
월드워Z,2013-06-20,172.72,13550,6.8,"[{'id': 18, 'name': '드라마'}, {'id': 27, 'name': '공포'}, {'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}, {'id': 878, 'name': 'SF'}]","[287, 175826, 1180907]",[12995],72190
잃어버린 세계를 찾아서 2: 신비의 섬,2012-01-19,134.348,3690,6.1,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[3895, 18918, 27972]",[132876],72545
나루토 질풍전 극장판 5기 - 블러드 프리즌,2011-07-30,153.675,438,7.3,"[{'id': 16, 'name': '애니메이션'}, {'id': 27, 'name': '공포'}, {'id': 28, 'name': '액션'}, {'id': 35, 'name': '코미디'}, {'id': 53, 'name': '스릴러'}, {'id': 9648, 'name': '미스테리'}]","[82055, 210350, 219659]",[116065],75624
아바타: 물의 길,2022-12-14,757.96,0,0.0,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[8691, 10205, 65731]",[2710],76600
언터처블: 1%의 우정,2011-11-02,124.236,15161,8.3,"[{'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}]","[19370, 33161, 78423]",[84425],77338
테리파이어,2011-08-09,479.681,47,6.7,"[{'id': 27, 'name': '공포'}]","[1375765, 1375767, 1487368]",[933176],86328
슈퍼배드 2,2013-06-26,150.865,10041,6.9,"[{'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[4495, 4589, 41091]",[124747],93456
어벤져스: 에이지 오브 울트론,2015-04-22,173.081,20592,7.3,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[103, 3223, 74568]",[12891],99861
어메이징 스파이더맨 2,2014-04-16,125.735,11470,6.5,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[134, 37625, 54693]",[87742],102382
말레피센트,2014-05-28,124.032,11918,7.1,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}, {'id': 10749, 'name': '로맨스'}, {'id': 10751, 'name': '가족'}]","[11356, 11701, 18050]",[1032536],102651
더 울프 오브 월 스트리트,2013-12-25,152.207,20620,8.0,"[{'id': 18, 'name': '드라마'}, {'id': 35, 'name': '코미디'}, {'id': 80, 'name': '범죄'}]","[6193, 21007, 234352]",[1032],106646
다 큰 녀석들 2,2013-07-11,143.145,3597,6.1,"[{'id': 35, 'name': '코미디'}]","[2632, 19292, 32895]",[17494],109418
겨울왕국,2013-11-20,174.36,14696,7.3,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 10751, 'name': '가족'}]","[19394, 40462, 221611]",[15774],109445
Avatar: Creating the World of Pandora,2010-02-07,242.181,26,7.4,"[{'id': 99, 'name': '다큐멘터리'}]","[900, 10964, 1042213]",[1042212],111332
나루토 질풍전 극장판 6기 - 로드 투 닌자,2012-07-28,137.275,792,7.6,"[{'id': 14, 'name': '판타지'}, {'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}]","[9706, 82055, 82057]",[1067794],118406
테드 : 황금도시 파이티티를 찾아서,2012-08-10,126.893,456,6.1,"[{'id': 12, 'name': '모험'}, {'id': 16, 'name': '애니메이션'}, {'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}]","[19854, 114463, 1164823]",[1074721],121734
호빗: 다섯 군대 전투,2014-12-10,162.465,12426,7.3,"[{'id': 12, 'name': '모험'}, {'id': 14, 'name': '판타지'}, {'id': 28, 'name': '액션'}]","[1327, 7060, 30315]",[108],122917
드래곤볼Z: 신들의 전쟁,2013-03-30,134.147,1289,6.8,"[{'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}]","[20664, 78402, 90496]",[1083453],126963
헝거게임: 모킹제이,2014-11-19,157.902,13928,6.8,"[{'id': 12, 'name': '모험'}, {'id': 53, 'name': '스릴러'}, {'id': 878, 'name': 'SF'}]","[27972, 72129, 96066]",[10943],131631
